Unità,Titolo Unità,Imput,Vocabolario,Grammatica,Comunicazione,Cultura e Società,Gioco Genially (Inferito),Attività di Produzione Orale e Scritta
0,In classe,,"Oggetti della classe, istruzioni per i compiti.",Ripasso generale del primo volume.,"Parlare della propria esperienza di studio, descrivere interessi, iscriversi a un corso.","Il sistema dell'istruzione in Italia (scuola primaria, secondaria, università).",Escape room virtuale: 'Trova l'uscita dalla classe' identificando correttamente gli oggetti scolastici nascosti.,Produzione scritta: Eliminare le parti superflue da un testo sull'istruzione in Italia; Produzione orale: Simulazione di iscrizione a una scuola di lingue.
1,W gli sposi!,,"Mesi e stagioni, festività, regali, espressioni per auguri.","Pronomi diretti, quello e bello, passato prossimo con essere e riflessivi.","Descrivere persone e situazioni, fare auguri e rispondere.","Buone maniere nel dare e ricevere regali, il matrimonio in Italia.",Quiz 'Memory di Nozze': abbinare le immagini delle occasioni festive alle corrette locuzioni. Es. Compleanno -- Auguri!,Produzione orale: Raccontare gli eventi di un matrimonio immaginario; Produzione scritta: Completare un dialogo modificando elementi sottolineati.
2,Feste e tradizioni,,"Verbi gustare, provare, assaggiare, descrizioni di luoghi turistici.","Superlativo relativo e assoluto, costruzione 'uno dei più', avverbi con passato prossimo.","Esprimere il grado di una qualità, descrivere luoghi.","Feste e tradizioni italiane (Palio di Siena, Carnevale di Venezia).",Gioco dell'oca interattivo sulle festività italiane e i prodotti tipici regionali.,Produzione scritta: Convincere un amico italiano a visitare il proprio paese per una festa tradizionale.
3,Al ristorante,,"Tipi di cibo, pasti e portate, nomi dei piatti, formule tipiche al ristorante.",I comparativi.,"Prenotare un tavolo, ordinare al ristorante, chiedere il conto, fare paragoni.","Piatti tipici, i pasti in Italia, regole di comportamento al ristorante.",Gioco del Cameriere: ordinare i piatti corretti in base alle richieste audio dei clienti.,Produzione orale: Role-play tra cameriere e clienti esigenti in un ristorante famoso.
4,Come eravamo,,Capi di abbigliamento (anni '70 e '80).,L'imperfetto.,"Descrivere situazioni passate, descrivere l'abbigliamento.","L'abbigliamento in Italia, differenze tra destra e sinistra.",Drag and drop: vestire i manichini con la moda degli anni '70 e '80.,Produzione orale: Confronto tra come ci si vestiva un tempo e come si vestono i giovani oggi.
5,Io mi ricordo...,,"Aggettivi per descrizione fisica e psicologica, espressioni di tempo (anni fa).","Imperfetto vs passato prossimo, connettivi (allora, ma, mentre).","Raccontare eventi passati, descrivere l'aspetto fisico e il carattere.","Il calcio in Italia, personaggi della cultura e della storia d'Italia.",Identikit: ascoltare una descrizione audio e selezionare l'immagine del personaggio corretto.,Produzione orale: Descrizione di un personaggio famoso basata su liste di caratteristiche fisiche e psicologiche.
6,"Buongiorno, desidera?",,"Nomi di negozi, ingredienti, pesi e misure (grammi, chili, litri).","Espressione 'ce l'ho', pronomi con l'imperativo informale.","Ordinare in un negozio di alimentari, dare istruzioni per la spesa.","La distribuzione a km zero, i negozi di alimentari in Italia.",Simulatore di spesa: completare la lista della spesa entrando nei negozi giusti.,Produzione scritta: Redigere una descrizione o un articolo utilizzando il maggior numero di parole riferite a 4 cibi specifici.
7,Fare la spesa,,"Espressioni fisse per fare la spesa, dieta mediterranea.","Articolo partitivo, particella ne, dislocazione pronominale, preposizione di.","Dire cosa si vuole comprare, chiedere quantità e prezzo, chiedere un prestito.","La dieta mediterranea patrimonio UNESCO, la cucina italiana regionale.",Mercato rionale interattivo: trascinare i prodotti sulla bilancia per indovinare il peso in etti/grammi.,Produzione orale: Discussione in coppia sulle proprie abitudini alimentari basandosi su un grafico della dieta mediterranea.
8,Made in Italy,,"Saldi e sconti, taglie e misure, forme e materiali, numerali collettivi.","Costruzione 'stare per', pronomi combinati, costruzione 'avere bisogno di'.","Interagire in un negozio di abbigliamento, discutere il prezzo.","La moda italiana, i saldi e sconti.","Personal Shopper: abbinare descrizioni di materiali (seta, lana, pelle) ai capi d'abbigliamento corrispondenti.","Produzione orale: Gioco 'Prima gliela mostro', recitare battute sostituendo pronomi combinati e nomi."
9,Cerco casa,,"Tipi di abitazione, stanze e mobilia, annunci immobiliari.",Il condizionale presente.,"Descrivere la casa, parlare dell'arredamento, esprimere desideri o opinioni su una casa.","La casa per gli italiani (proprietà e ospiti), i mercatini in Italia.",Arredatore virtuale: disporre i mobili nelle stanze della casa seguendo le istruzioni audio.,Produzione scritta: Lettera a un amico spiegando l'importanza di un oggetto d'arredo specifico (mobile umano).
10,Come ti senti?,,"Farmaci e malattie, parti del corpo.","Nomi irregolari, si impersonale, imperativo formale (affermativo/negativo/con pronomi).","Chiedere e dire come ci si sente, parlare della salute, dare consigli medici.","Il sistema sanitario in Italia, gli italiani e la salute.","Dottore Online: diagnosticare i disturbi e suggerire il rimedio corretto (tisana, spray, compressa).","Produzione orale: Simulazione di una visita medica con ruoli di paziente, amico e medico."
11,Che tempo fa?,,"Previsioni del tempo, espressioni meteorologiche (fa freddo/caldo).","Verbi impersonali (piovere, nevicare), il futuro semplice.","Parlare del tempo meteorologico, parlare di azioni future.","Il tempo in Italia, modi di dire con il tempo.",Meteo-Quiz interattivo: una mappa dell'Italia cliccabile dove lo studente deve associare il simbolo meteorologico alla descrizione corretta in futuro semplice.,Scrivere un articolo sulle previsioni del tempo per il prossimo fine settimana o interpretare un dialogo tra un giornalista e uno scienziato sul futuro del pianeta.
12,Dove vai in vacanza?,,"Espressioni con preposizioni, oggetti da valigia, pacchetti turistici.","Futuro semplice per ipotesi, esclamazioni.","Descrivere una località turistica, fare la valigia, fare ipotesi e previsioni.","In spiaggia (stabilimenti), gli italiani e le vacanze (ferie e feste religiose).","Escape Room ""La Valigia Smarrita"": risolvere indovinelli grammaticali sul futuro per trovare gli oggetti necessari per la vacanza e chiudere il bagaglio.",Scrivere una breve presentazione di una località turistica del proprio paese per invogliare un italiano a visitarla.
13,Un viaggio,,"Luoghi e attività delle vacanze, verbi sapere e conoscere, parole dell'amore.","Avverbio 'addirittura', passato prossimo con verbi modali, avverbi in -mente.","Raccontare un viaggio, indicare azioni successive nel passato.","I gesti italiani, il linguaggio del corpo.",Board Game Digitale: un percorso a tappe dove ogni casella richiede di raccontare un pezzetto di un viaggio immaginario usando i connettivi studiati.,"Scrivere una mail a un amico raccontando una vacanza ""da sogno"" includendo due o tre bugie che l'amico dovrà individuare."
